,photo_id,exif_camera_make,exif_camera_model,exif_iso,exif_focal_length,exif_aperture_value,exif_exposure_time,orientation,iso_noise_bin_label,iso_noise_label,DoF_bin,DoF,exposure_label,focal_label_bin,focal_label
60,1E11Vqg_2hk,Canon,Canon EOS 6D,320,105,4,1/125,1,0,0,1,1,1,1,2
61,3CjX86heiUk,NIKON CORPORATION,NIKON D300,100,10,16,1/60,1,0,0,1,2,1,0,0
62,JQ3GQzG3iX4,SONY,ILCE-7M2,200,140,4,1/200,1,0,0,1,1,1,1,2
63,th4bqV0PQpI,Canon,Canon EOS 6D,200,24,5,1/2500,1,0,0,1,1,2,0,0
64,j2HQKlLFT_c,Apple,iPhone 6,32,4.2,2.2,1/3300,1,0,0,0,0,2,0,0
65,esax_xh52zg,Apple,iPhone 5c,50,4.1,2.4,1/196,1,0,0,0,0,1,0,0
66,hSVAoeksQ7c,NIKON CORPORATION,NIKON D3100,100,13,25,8,1,0,0,1,2,0,0,0
68,Luwp6HZB2Oo,SONY,SLT-A77V,80,300,5.6,1/250,1,0,0,1,1,1,1,2
69,NxzovEuz878,NIKON CORPORATION,NIKON D50,200,19,7.1,1/200,1,0,0,1,2,1,0,0
70,-uzgaA9LfNw,Canon,Canon EOS 5D Mark III,100,24,22,30,1,0,0,1,2,0,0,0
71,o7pBoWgW6Gc,Canon,Canon EOS REBEL T2i,100,70,8,1/250,1,0,0,1,2,1,0,1
72,YN0TsnkaZBU,OLYMPUS IMAGING CORP.,E-M10,200,42,8,1/200,1,0,0,1,2,1,0,1
73,-bAy8jTPWVo,Canon,Canon EOS 1100D,640,38,6.3,1/60,1,1,1,1,2,1,0,1
74,UmDCqXIvty8,Panasonic,DMC-GX7,125,60,2.8,1/320,1,0,0,0,0,2,0,1
75,1vYkQVDWXl0,Canon,Canon EOS 60D,400,50,1.8,1/100,1,0,0,0,0,1,0,1
76,GfuxOPaitSs,Canon,Canon PowerShot SX50 HS,80,13,4.5,15,1,0,0,1,1,0,0,0
78,2NyNF1mrYGY,NIKON CORPORATION,NIKON D3200,100,18,8,1/250,1,0,0,1,2,1,0,0
79,kirY8T8kskM,FUJIFILM,XF1,100,6.4,4,1/250,1,0,0,1,1,1,0,0
80,DBmFFXczGWM,Canon,Canon EOS 7D,500,22,18,1/200,1,1,1,1,2,1,0,0
81,MaAGeHnXl9g,Canon,Canon PowerShot G12,125,7.4,4,1/500,1,0,0,1,1,2,0,0
83,trELt4tpj7w,Canon,Canon EOS 5D Mark II,400,300,5.6,1/250,1,0,0,1,1,1,1,2
84,JHHDUs23wjA,Canon,Canon EOS 5D Mark III,1250,28,4,1/50,1,1,1,1,1,1,0,0
85,F-t5EpfQNpk,Canon,Canon EOS Kiss X6i,1600,100,5.6,1/2000,1,1,1,1,1,2,1,2
86,5EDTkkHRCgg,NIKON CORPORATION,NIKON D90,200,25,13,1/5,1,0,0,1,2,1,0,0
89,Q5Qe0WI66_4,NIKON CORPORATION,NIKON D750,800,50,2.2,1/60,1,1,1,0,0,1,0,1
90,k-pNQB0koNo,Canon,Canon EOS 70D,100,60,4,1/400,1,0,0,1,1,2,0,1
91,WnB-gKIt1qo,Canon,Canon EOS REBEL T5i,100,18,10,30,1,0,0,1,2,0,0,0
92,UMrOAVh_GrY,Canon,Canon EOS 7D,1000,700,6.3,1/320,1,1,1,1,2,2,1,2
94,d6kSvT2xZQo,Apple,iPhone 5s,40,4.2,2.2,1/120,1,0,0,0,0,1,0,0
95,b7TuxjXs9j8,Canon,Canon EOS 5D Mark III,200,28,2.5,1/800,1,0,0,0,0,2,0,0
97,YWhRvW7KRJY,Canon,Canon EOS 5D Mark II,160,80,4,1/500,1,0,0,1,1,2,0,1
98,SDS53BJhAwc,Canon,Canon EOS DIGITAL REBEL XT,400,50,8,1/400,1,0,0,1,2,2,0,1
99,7gZEY7tY9C4,NIKON CORPORATION,NIKON D800,1600,14,2.8,20,1,1,1,0,0,0,0,0
100,x6RO8lNSzpo,Canon,Canon EOS 70D,100,135,7.1,1/8000,1,0,0,1,2,2,1,2
101,-qRnt_BkJH4,Canon,Canon EOS 450D,100,70,8,1/320,1,0,0,1,2,2,0,1
102,qS-SDG7umac,SAMSUNG,GT-I9082,80,3.7,2.6,1/134,1,0,0,0,0,1,0,0
103,qn9r2gMDWzs,Canon,Canon EOS 450D,100,34,5.6,1/100,1,0,0,1,1,1,0,0
104,4jcFu1byopQ,NIKON CORPORATION,NIKON D90,160,50,3.5,0.5,1,0,0,0,1,0,0,1
105,dff39L7dRY4,NIKON CORPORATION,NIKON D5200,100,10,3.5,1/1250,1,0,0,0,1,2,0,0
106,y692nLSXiaU,NIKON CORPORATION,NIKON D7100,100,50,1.8,1/1600,1,0,0,0,0,2,0,1
107,i_ivTcj8GFo,Apple,iPhone 5,50,4.1,2.4,1/1043,1,0,0,0,0,2,0,0
108,OBkWp-1lxjM,"RICOH IMAGING COMPANY, LTD.",PENTAX K-3 II,200,15,11,1/100,1,0,0,1,2,1,0,0
109,wkRHXxsZTvc,FUJIFILM,X100S,320,23,4,1/500,1,0,0,1,1,2,0,0
111,sirEpWjfSmo,NIKON CORPORATION,NIKON D5200,400,135,6,1/500,1,0,0,1,2,2,1,2
112,NXB51Lc1RdM,NIKON CORPORATION,NIKON D600,100,50,1.8,1/2500,1,0,0,0,0,2,0,1
113,aPCf4QhVsN4,NIKON CORPORATION,NIKON D3000,200,48,5.6,1/320,1,0,0,1,1,2,0,1
114,4Xb9AqocdCc,Canon,Canon EOS 6D,125,135,2.8,1/250,1,0,0,0,0,1,1,2
116,bkZlfn8Rccc,NIKON CORPORATION,NIKON D3200,100,46,8,1/200,1,0,0,1,2,1,0,1
117,_DJZtCTiclo,Canon,Canon EOS 400D DIGITAL,200,50,1.4,1/200,1,0,0,0,0,1,0,1
119,L9oSwk12WKk,Canon,Canon EOS 7D,320,21,5.6,1/30,1,0,0,1,1,1,0,0
120,TB4hpi1nfJQ,NIKON CORPORATION,NIKON D810,200,24,2.8,10,1,0,0,0,0,0,0,0
122,-sCzwQ6D1-g,Canon,Canon EOS 60D,640,200,2.8,1/1250,1,1,1,0,0,2,1,2
123,vSjvVsebqrc,Canon,Canon EOS 5D Mark II,100,140,2.8,1/320,1,0,0,0,0,2,1,2
124,UFzAiLIwsNM,Canon,Canon EOS 1200D,100,85,8,1/250,1,0,0,1,2,1,0,1
125,pTPcbdUzlyY,Canon,Canon EOS 6D,5000,24,16,1/320,1,1,2,1,2,2,0,0
126,vLbtQEx64RU,NIKON CORPORATION,NIKON D5000,200,200,10,1/320,1,0,0,1,2,2,1,2
127,cKTGIXC9dHc,NIKON CORPORATION,NIKON D800,640,24,7.1,1/125,1,1,1,1,2,1,0,0
128,JZ4GNQzNxTU,NIKON CORPORATION,NIKON D3200,100,52,8,0.5,1,0,0,1,2,0,0,1
129,mUP8w6dENrY,Canon,Canon EOS 5D Mark III,250,35,10,1/800,1,0,0,1,2,2,0,0
130,ke-sGAA8w64,FUJIFILM,X100S,200,23,2,1/1000,1,0,0,0,0,2,0,0
132,9wg5jCEPBsw,NIKON CORPORATION,NIKON D7000,100,50,6.3,1/800,1,0,0,1,2,2,0,1
133,JzQUxNdjbZM,SAMSUNG,NX300,3200,25,4,1/30,1,1,2,1,1,1,0,0
134,ZEd44nDPTfA,NIKON CORPORATION,NIKON D810,100,200,5.6,1/250,1,0,0,1,1,1,1,2
135,rg3F_zlBlnA,OLYMPUS IMAGING CORP.,E-M10,200,17,2.2,1/2000,1,0,0,0,0,2,0,0
137,_4HhZOUEwmw,FUJIFILM,X100S,800,23,5.6,1/500,1,1,1,1,1,2,0,0
138,P7w9VrUo9vU,Canon,Canon EOS 5D Mark III,3200,70,2.8,1/60,1,1,2,0,0,1,0,1
139,CYLYOTWE01o,SONY,ILCE-6000,100,16,6.3,1/800,1,0,0,1,2,2,0,0
140,XlFGKCeuIOw,NIKON CORPORATION,NIKON D810,400,50,2.5,1/125,1,0,0,0,0,1,0,1
142,BUxLdXAsz8c,Canon,Canon EOS 5D Mark III,800,42,2.8,1/60,1,1,1,0,0,1,0,1
144,v4YtpXknYLY,Canon,Canon EOS 5D Mark III,100,55,5,1/80,1,0,0,1,1,1,0,1
145,qbtyUQtqJ8k,Canon,Canon EOS REBEL T3,100,18,4.5,1/100,1,0,0,1,1,1,0,0
146,yyilgcRTlNw,SONY,ILCE-5000,100,16,11,1/250,1,0,0,1,2,1,0,0
147,Y9rurJkOVxk,FUJIFILM,X100S,800,23,5.6,1/340,1,1,1,1,1,2,0,0
148,WCrchkdrlwI,Canon,Canon EOS 5D Mark III,320,58,6.3,1/125,1,0,0,1,2,1,0,1
149,WUC1wC8pP9A,FUJIFILM,X-T10,1600,35,1,1/60,1,1,1,0,0,1,0,0
150,o31cz2XQDFw,SONY,ILCE-7,640,35,8,1/400,1,1,1,1,2,2,0,0
151,FKbg8jbLMQ8,Canon,Canon EOS REBEL T3i,100,24,10,1/250,1,0,0,1,2,1,0,0
152,jeWWV3OqN78,NIKON CORPORATION,NIKON D750,1000,280,10,1/4000,1,1,1,1,2,2,1,2
153,-ftqFUopdDs,Canon,Canon EOS 5D Mark II,125,45,13,1/100,1,0,0,1,2,1,0,1
155,Sa7787z58VQ,NIKON CORPORATION,NIKON 1 V1,100,30,10,1/160,1,0,0,1,2,1,0,0
156,SWfcRVm-o0E,SONY,ILCE-7M2,100,19,10,1/320,1,0,0,1,2,2,0,0
157,Swfc6shtGP4,Canon,Canon EOS 5D Mark III,200,50,1.6,1/250,1,0,0,0,0,1,0,1
158,LZErFqDvkpk,Canon,Canon EOS 7D,100,50,2.2,1/5000,1,0,0,0,0,2,0,1
161,rldNiZx1fNI,NIKON CORPORATION,NIKON D5200,100,30,5.6,1/1000,1,0,0,1,1,2,0,0
163,V2I277IbS08,Canon,Canon EOS 7D,200,85,2.8,1/800,1,0,0,0,0,2,0,1
164,zQBSte4Rn3s,NIKON CORPORATION,NIKON D80,125,17,10,1/60,1,0,0,1,2,1,0,0
166,TfrraGFywuQ,Canon,Canon EOS 5D Mark II,1000,135,5.6,1/400,1,1,1,1,1,2,1,2
167,_omuigahLco,SONY,ILCE-6000,320,24,4,1/60,1,0,0,1,1,1,0,0
168,KbhmP_uoqTY,NIKON CORPORATION,NIKON D7000,800,155,4.5,1/125,1,1,1,1,1,1,1,2
169,tHe4kd2ZI3U,Canon,Canon EOS 600D,6400,42,5,1/80,1,1,2,1,1,1,0,1
170,BGB9Eidt30I,Panasonic,DMC-GH4,200,20,1.7,1/2500,1,0,0,0,0,2,0,0
172,bXHlgb58_co,Canon,Canon EOS 600D,100,18,10,1/250,1,0,0,1,2,1,0,0
173,YMMXnBHhvCo,FUJIFILM,X-T1,800,16,2,1/2500,1,1,1,0,0,2,0,0
175,-s1w1SguZTI,Canon,Canon PowerShot G7 X,125,24.1,4,1/125,1,0,0,1,1,1,0,0
176,LMgynmNmSGY,NIKON CORPORATION,NIKON D750,100,85,3.5,1/200,1,0,0,0,1,1,0,1
177,ILnBrcYVXr4,Canon,Canon EOS 5D Mark III,100,105,16,1/125,1,0,0,1,2,1,1,2
178,gvoHcmM47R4,Canon,Canon EOS 7D,400,24,7.1,1/3200,1,0,0,1,2,2,0,0
179,9BbAmtCGpWY,Canon,Canon PowerShot G7 X,125,8.8,3.2,1/1250,1,0,0,0,1,2,0,0
181,DqXPh4wrA20,Canon,Canon PowerShot G7 X,200,17.4,4,1/200,1,0,0,1,1,1,0,0
182,PdJjT-zYg_E,Canon,Canon EOS 7D Mark II,100,70,4,1/160,1,0,0,1,1,1,0,1
183,IZ01rjX0XQA,FUJIFILM,X-E2,200,18,11,1/350,1,0,0,1,2,2,0,0
185,23B9fajPhho,NIKON CORPORATION,NIKON D5000,1600,55,4,1/10,1,1,1,1,1,1,0,1
186,KD8jKVdCFoQ,NIKON CORPORATION,NIKON D5100,200,105,5.6,1/125,1,0,0,1,1,1,1,2
187,Gl48sm4Od6g,SONY,ILCE-7M2,100,29,11,1/200,1,0,0,1,2,1,0,0
188,7MBgGXQ2Rqg,Canon,Canon EOS Kiss X4,100,50,1.8,1/4000,1,0,0,0,0,2,0,1
189,EfhCUc_fjrU,SONY,ILCE-6000,100,50,10,0.4,1,0,0,1,2,0,0,1
191,0WrZceP8V28,Canon,Canon EOS REBEL T3i,100,24,9,1/640,1,0,0,1,2,2,0,0
192,c8_nS7lF3eo,Canon,Canon EOS REBEL T3i,200,100,2.8,1/400,1,0,0,0,0,2,1,2
193,VyZTJ_FRqJc,NIKON CORPORATION,NIKON D5500,200,55,5.6,1/100,1,0,0,1,1,1,0,1
194,PpZiXBY7_Nw,NIKON CORPORATION,NIKON D750,100,20,8,1/200,1,0,0,1,2,1,0,0
195,ijz0gXqaNrU,Canon,Canon EOS 5D,640,105,8,1/250,1,1,1,1,2,1,1,2
196,bFFJj1UM8N0,Canon,Canon EOS 6D,500,50,3.5,1/4000,1,1,1,0,1,2,0,1
197,bbuMCIRFXiQ,Canon,Canon EOS 5D Mark II,100,100,6.3,1/250,1,0,0,1,2,1,1,2
198,FQGW34aZb1I,SAMSUNG,NX500,100,16,7.1,1/320,1,0,0,1,2,2,0,0
199,U22mr8QmDvE,Canon,Canon EOS REBEL T3i,100,35,7.1,1/125,1,0,0,1,2,1,0,0
201,FZqISnUVsL0,Canon,Canon EOS 1100D,100,18,3.5,1/2000,1,0,0,0,1,2,0,0
202,KwVbDSCb-bI,Apple,iPhone 5,200,4.1,2.4,1/237,1,0,0,0,0,1,0,0
203,_QwBXZ7NQ78,NIKON CORPORATION,NIKON D3000,200,50,10,1/200,1,0,0,1,2,1,0,1
206,V6If1LurrhU,NIKON CORPORATION,NIKON D610,640,55,4.5,1/2000,1,1,1,1,1,2,0,1
207,R_qUr2FqvlI,SONY,ILCE-6000,100,30,10,44,1,0,0,1,2,0,0,0
208,ebRanmiyixs,Canon,Canon EOS 5D,3200,50,2.8,10,1,1,2,0,0,0,0,1
209,PAnGAiaSPh0,Canon,Canon EOS 7D,400,50,7.1,1/100,1,0,0,1,2,1,0,1
211,bY6baTGwoG0,SONY,SLT-A58,100,100,6.3,1/200,1,0,0,1,2,1,1,2
212,WQo7FmqQBpo,Canon,Canon EOS REBEL T5,400,44,11,1/200,1,0,0,1,2,1,0,1
214,vfyvip4aT4Q,NIKON CORPORATION,NIKON D7100,100,18,3.5,20,1,0,0,0,1,0,0,0
215,lYwwPmsWdOg,Canon,Canon EOS REBEL T5,100,250,13,1/8,1,0,0,1,2,1,1,2
216,YH4DwLLZy4I,NIKON CORPORATION,NIKON D3100,100,50,1.8,1/1250,1,0,0,0,0,2,0,1
217,aolmXcUxr7Y,Canon,Canon EOS REBEL T3i,400,400,5.6,1/640,1,0,0,1,1,2,1,2
218,4xb7hurRzIU,Canon,Canon PowerShot SX120 IS,100,6.7,5,1/1250,1,0,0,1,1,2,0,0
219,-uEIBNhwrDo,DJI,FC300X,200,3.6,2.8,1/400,1,0,0,0,0,2,0,0
220,PaNxe-QJwhE,NIKON CORPORATION,NIKON D800,400,16,8,15,1,0,0,1,2,0,0,0
222,VQqt3g0BixA,NIKON CORPORATION,NIKON D7100,250,18,3.5,1/800,1,0,0,0,1,2,0,0
223,5q5CAz_bOAg,NIKON CORPORATION,NIKON D7000,280,150,6.3,1/1000,1,0,0,1,2,2,1,2
224,5WYiCX1HHYg,NIKON CORPORATION,NIKON D750,100,200,2.8,1/800,1,0,0,0,0,2,1,2
227,5dehYy5BkRw,Canon,Canon EOS 5D Mark II,100,50,6.3,1/100,1,0,0,1,2,1,0,1
228,WeYamle9fDM,FUJIFILM,X100T,400,23,2,1/450,1,0,0,0,0,2,0,0
233,T9CktnMI8TQ,Canon,Canon EOS 5D Mark III,100,105,5.6,1/160,1,0,0,1,1,1,1,2
235,F4cloJo0PQM,SONY,DSC-RX100M3,125,15.3,5.6,1/640,1,0,0,1,1,2,0,0
238,RLR9AfOd5hw,NIKON CORPORATION,NIKON D750,360,140,5.6,1/500,1,0,0,1,1,2,1,2
239,TXZZDkuCA80,FUJIFILM,X100T,3200,19,8,1/1000,1,1,2,1,2,2,0,0
240,IghZxJgO94M,NIKON CORPORATION,NIKON D750,100,390,8,1/640,1,0,0,1,2,2,1,2
241,RSGXmYouHSA,Canon,Canon EOS 700D,800,50,5,1/125,1,1,1,1,1,1,0,1
242,7rc1slcFfuM,SONY,ILCE-7R,50,28,22,1.6,1,0,0,1,2,0,0,0
243,TThJasoRU2o,NIKON CORPORATION,NIKON D5200,200,40,20,1/15,1,0,0,1,2,1,0,1
244,iilZhNg5uaQ,Canon,Canon EOS REBEL T3i,200,100,2.8,1/200,1,0,0,0,0,1,1,2
245,5KNecHxjTnI,FUJIFILM,X-T1,200,23,1.6,1/300,1,0,0,0,0,2,0,0
249,-fiPzmOG8sU,Canon,Canon EOS REBEL T5,320,39,11,1/200,1,0,0,1,2,1,0,1
251,zSGFGTed0zw,Canon,Canon EOS 6D,100,20,8,1/100,1,0,0,1,2,1,0,0
253,b-0AT81Z5MA,NIKON CORPORATION,NIKON D750,1250,105,3.3,1/800,1,1,1,0,1,2,1,2
257,dY7ONzZzoU8,SONY,ILCE-6300,320,24,4.5,1/500,1,0,0,1,1,2,0,0
258,eotyy_IFVRk,OLYMPUS IMAGING CORP.,E-M5,1600,12,3.5,20,1,1,1,0,1,0,0,0
259,jizIM-9oLYA,NIKON CORPORATION,NIKON D800,100,28,2.8,1/1000,1,0,0,0,0,2,0,0
260,j9NRVGf6Vo4,SONY,ILCE-7RM2,50,50,9,1/200,1,0,0,1,2,1,0,1
261,I00Y30Ik8Xw,Canon,Canon PowerShot G3 X,800,110.8,5.6,1/400,1,1,1,1,1,2,1,2
262,cglOutdLi2I,Canon,Canon PowerShot G7 X,200,8.8,4,1/60,1,0,0,1,1,1,0,0
263,DLICfSD33as,Canon,Canon EOS 7D Mark II,400,22,4.5,30,1,0,0,1,1,0,0,0
264,xndHhTH2Ejc,SONY,ILCE-7RM2,50,50,8,1/200,1,0,0,1,2,1,0,1
267,xYMkO5LbGtc,NIKON CORPORATION,NIKON D750,100,70,2.8,1/1000,1,0,0,0,0,2,0,1
272,9FDKj-FrfA4,Canon,Canon EOS REBEL T5,125,55,5.6,1/80,1,0,0,1,1,1,0,1
273,f9bkzNQyylg,Canon,Canon EOS 1200D,1600,55,5.6,1/2000,1,1,1,1,1,2,0,1
275,iyfjDcAr_2g,Canon,Canon EOS 5D Mark IV,250,85,13,1/500,1,0,0,1,2,2,0,1
276,R4lvbqy_r80,SONY,ILCE-7M2,80,85,8,1/50,1,0,0,1,2,1,0,1
278,6SeYtqSaGLI,SONY,ILCE-7R,100,234,5.6,1/250,1,0,0,1,1,1,1,2
279,FJc8DIDMGek,Canon,Canon EOS 5DS,100,29,2.8,1/8000,1,0,0,0,0,2,0,0
280,-Ndew-vyQis,Canon,Canon EOS Rebel T6,3200,18,5.6,1/4000,1,1,2,1,1,2,0,0
282,T1wpGZhvwUo,Canon,Canon EOS 7D Mark II,250,50,1.4,1/2000,1,0,0,0,0,2,0,1
284,g58DqgOzCcM,NIKON CORPORATION,NIKON 1 V1,800,93.5,13,1/1250,1,1,1,1,2,2,1,2
285,nLNimOqmbpg,Canon,Canon EOS REBEL T5,100,75,5.6,1/200,1,0,0,1,1,1,0,1
286,2IITGgRhrQU,NIKON CORPORATION,NIKON D750,100,50,1.6,1/1250,1,0,0,0,0,2,0,1
287,PuhnmljHXJ8,Canon,Canon EOS 6D,2000,600,10,1/1000,1,1,2,1,2,2,1,2
288,lOaTye_A0GU,NIKON CORPORATION,NIKON D3300,100,50,1.8,1/1600,1,0,0,0,0,2,0,1
290,9HDfRHhCxME,DJI,FC300X,100,3.6,2.8,1/120,1,0,0,0,0,1,0,0
291,sQgW0mQ1CY0,Canon,Canon EOS 6D,100,60,13,30,1,0,0,1,2,0,0,1
295,tMHJUOKFLjU,FUJIFILM,X-T2,200,35,3.2,1/4000,1,0,0,0,1,2,0,0
296,sUO1FYKPsHw,SONY,ILCE-7,400,70,8,1/1000,1,0,0,1,2,2,0,1
297,QP64OlGcfcQ,SONY,ILCE-7M2,320,28,7.1,1/40,1,0,0,1,2,1,0,0
299,w2d6dMhVHR4,NIKON CORPORATION,NIKON D5100,720,300,9,1/1000,1,1,1,1,2,2,1,2
300,tu5JVdcsUus,DJI,FC300X,100,3.6,2.8,1/395,1,0,0,0,0,2,0,0
301,YH-jqAyDUaA,XIAOMI,HM1S,100,3.9,2.2,1/8800,1,0,0,0,0,2,0,0
302,IZdwSeYBoRk,NIKON CORPORATION,NIKON D3400,200,55,7.1,1/250,1,0,0,1,2,1,0,1
304,Hzeqkmuh8ZY,Canon,Canon PowerShot SX100 IS,80,14.4,3.5,1/250,1,0,0,0,1,1,0,0
305,5kP9M84AGUE,FUJIFILM,X-T1,250,56,2.5,1/2000,1,0,0,0,0,2,0,1
307,TwIXMn7iNnw,Canon,Canon EOS REBEL T3,1250,85,5.6,15,1,1,1,1,1,0,0,1
311,MTuudC6RZ10,SONY,ILCE-6000,100,50,1.8,1/1000,1,0,0,0,0,2,0,1
313,_C-ZxPF-BtQ,Canon,Canon EOS 6D,100,50,1.6,1/320,1,0,0,0,0,2,0,1
314,KWvhJuC3TSI,NIKON CORPORATION,NIKON D4S,100,50,2.2,1/1600,1,0,0,0,0,2,0,1
315,9mXl4DEA2QA,Canon,Canon EOS REBEL T3,100,50,5.6,1/100,1,0,0,1,1,1,0,1
317,ugcMN98SYIk,Canon,Canon EOS 5D Mark II,100,200,2.8,1/8000,1,0,0,0,0,2,1,2
318,zMWfRUiFqq0,NIKON CORPORATION,NIKON D3200,200,34,7.1,1/200,1,0,0,1,2,1,0,0
319,KLR9T4OEgwA,NIKON CORPORATION,NIKON D810,125,105,5,1/640,1,0,0,1,1,2,1,2
320,ZnVqsY0Baj4,LEICA CAMERA AG,LEICA TL,100,28.1,9,1/320,1,0,0,1,2,2,0,0
321,U_BPsXzsHQQ,SONY,ILCE-7,400,33,9,30,1,0,0,1,2,0,0,0
323,y9zUTieUc-U,Canon,Canon EOS 5D Mark II,100,35,2.8,1/100,1,0,0,0,0,1,0,0
324,zNwFleFYTB0,FUJIFILM,X10,100,28.4,5.6,1/800,1,0,0,1,1,2,0,0
325,ajKHcwvii0I,Apple,iPhone 7 Plus,20,6.6,2.8,1/179,1,0,0,0,0,1,0,0
326,8m2VbT6QBF0,Canon,Canon EOS Rebel T6,100,55,5.6,1/60,1,0,0,1,1,1,0,1
329,TEriGq5ywYA,NIKON CORPORATION,NIKON D4,1250,16,2.8,8,1,1,1,0,0,0,0,0
331,M1G9mFJaVkw,GoPro,HERO5 Black,1600,3,2.8,1/49,1,1,1,0,0,1,0,0
332,9ToO6t9la9g,FUJIFILM,FinePix JX300,100,22,5.8,1/320,1,0,0,1,2,2,0,0
