,Unnamed: 0,photo_id,exif_camera_make,exif_camera_model,exif_iso,exif_focal_length,exif_aperture_value,exif_exposure_time,orientation,iso_noise_bin_label,iso_noise_label,DoF_bin,DoF,exposure_label,focal_label_bin,focal_label
39,39,Z5qD8T3wVvk,Canon,Canon EOS 5D Mark III,400.0,70.0,5.0,1/320,1,0.0,0.0,1.0,1.0,2.0,0.0,1.0
42,42,mqtn_g1ogIY,Apple,iPhone 5c,50.0,4.1,2.4,1/935,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0
44,44,CH4AVMDbr4Q,NIKON CORPORATION,NIKON D7000,140.0,18.0,8.0,1/250,1,0.0,0.0,1.0,2.0,1.0,0.0,0.0
45,45,2ShvY8Lf6l0,Canon,Canon EOS 7D,100.0,50.0,1.8,1/800,1,0.0,0.0,0.0,0.0,2.0,0.0,1.0
48,48,Fu8pblIzEL0,NIKON CORPORATION,NIKON D5100,100.0,50.0,1.8,1/4000,1,0.0,0.0,0.0,0.0,2.0,0.0,1.0
49,49,cGe1PV_yEso,Canon,Canon EOS REBEL T2i,100.0,21.0,5.0,1/80,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0
51,51,nUTaiCDS9RE,Canon,Canon EOS 5D Mark II,100.0,17.0,8.0,1/640,1,0.0,0.0,1.0,2.0,2.0,0.0,0.0
52,52,8CDzJFF10d0,NIKON CORPORATION,NIKON D90,200.0,105.0,6.3,1/640,1,0.0,0.0,1.0,2.0,2.0,1.0,2.0
54,54,VNO2rqdLkKk,Canon,Canon EOS 700D,100.0,24.0,4.0,1/1000,1,0.0,0.0,1.0,1.0,2.0,0.0,0.0
55,55,7F24TkqrCLQ,FUJIFILM,X-E2,1600.0,18.0,16.0,1/850,1,1.0,1.0,1.0,2.0,2.0,0.0,0.0
56,56,QSOITSYgM5E,NIKON CORPORATION,NIKON D5100,400.0,18.0,5.0,1/100,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0
57,57,RS4YhxRHgBk,Canon,Canon EOS 10D,1600.0,54.0,4.5,1/4000,1,1.0,1.0,1.0,1.0,2.0,0.0,1.0
58,58,FIKD9t5_5zQ,Canon,Canon EOS 5D Mark II,200.0,50.0,2.8,1/50,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
59,59,NXciM5wByZg,NIKON CORPORATION,NIKON D3300,100.0,42.0,22.0,25,1,0.0,0.0,1.0,2.0,0.0,0.0,1.0
60,60,1E11Vqg_2hk,Canon,Canon EOS 6D,320.0,105.0,4.0,1/125,1,0.0,0.0,1.0,1.0,1.0,1.0,2.0
61,61,3CjX86heiUk,NIKON CORPORATION,NIKON D300,100.0,10.0,16.0,1/60,1,0.0,0.0,1.0,2.0,1.0,0.0,0.0
62,62,JQ3GQzG3iX4,SONY,ILCE-7M2,200.0,140.0,4.0,1/200,1,0.0,0.0,1.0,1.0,1.0,1.0,2.0
63,63,th4bqV0PQpI,Canon,Canon EOS 6D,200.0,24.0,5.0,1/2500,1,0.0,0.0,1.0,1.0,2.0,0.0,0.0
64,64,j2HQKlLFT_c,Apple,iPhone 6,32.0,4.2,2.2,1/3300,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0
65,65,esax_xh52zg,Apple,iPhone 5c,50.0,4.1,2.4,1/196,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
66,66,hSVAoeksQ7c,NIKON CORPORATION,NIKON D3100,100.0,13.0,25.0,8,1,0.0,0.0,1.0,2.0,0.0,0.0,0.0
67,67,xJqXTBt95tA,Apple,iPhone 5s,32.0,4.2,2.2,1/6849,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
68,68,Luwp6HZB2Oo,SONY,SLT-A77V,80.0,300.0,5.6,1/250,1,0.0,0.0,1.0,1.0,1.0,1.0,2.0
69,69,NxzovEuz878,NIKON CORPORATION,NIKON D50,200.0,19.0,7.1,1/200,1,0.0,0.0,1.0,2.0,1.0,0.0,0.0
70,70,-uzgaA9LfNw,Canon,Canon EOS 5D Mark III,100.0,24.0,22.0,30,1,0.0,0.0,1.0,2.0,0.0,0.0,0.0
71,71,o7pBoWgW6Gc,Canon,Canon EOS REBEL T2i,100.0,70.0,8.0,1/250,1,0.0,0.0,1.0,2.0,1.0,0.0,1.0
72,72,YN0TsnkaZBU,OLYMPUS IMAGING CORP.,E-M10,200.0,42.0,8.0,1/200,1,0.0,0.0,1.0,2.0,1.0,0.0,1.0
73,73,-bAy8jTPWVo,Canon,Canon EOS 1100D,640.0,38.0,6.3,1/60,1,1.0,1.0,1.0,2.0,1.0,0.0,1.0
74,74,UmDCqXIvty8,Panasonic,DMC-GX7,125.0,60.0,2.8,1/320,1,0.0,0.0,0.0,0.0,2.0,0.0,1.0
75,75,1vYkQVDWXl0,Canon,Canon EOS 60D,400.0,50.0,1.8,1/100,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
76,76,GfuxOPaitSs,Canon,Canon PowerShot SX50 HS,80.0,13.0,4.5,15,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0
78,78,2NyNF1mrYGY,NIKON CORPORATION,NIKON D3200,100.0,18.0,8.0,1/250,1,0.0,0.0,1.0,2.0,1.0,0.0,0.0
79,79,kirY8T8kskM,FUJIFILM,XF1,100.0,6.4,4.0,1/250,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0
80,80,DBmFFXczGWM,Canon,Canon EOS 7D,500.0,22.0,18.0,1/200,1,1.0,1.0,1.0,2.0,1.0,0.0,0.0
81,81,MaAGeHnXl9g,Canon,Canon PowerShot G12,125.0,7.4,4.0,1/500,1,0.0,0.0,1.0,1.0,2.0,0.0,0.0
83,83,trELt4tpj7w,Canon,Canon EOS 5D Mark II,400.0,300.0,5.6,1/250,1,0.0,0.0,1.0,1.0,1.0,1.0,2.0
84,84,JHHDUs23wjA,Canon,Canon EOS 5D Mark III,1250.0,28.0,4.0,1/50,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
85,85,F-t5EpfQNpk,Canon,Canon EOS Kiss X6i,1600.0,100.0,5.6,1/2000,1,1.0,1.0,1.0,1.0,2.0,1.0,2.0
86,86,5EDTkkHRCgg,NIKON CORPORATION,NIKON D90,200.0,25.0,13.0,1/5,1,0.0,0.0,1.0,2.0,1.0,0.0,0.0
87,87,mYXXokN8HZ0,SONY,DSC-HX200V,100.0,4.8,2.8,1/1000,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
88,88,2KXEb_8G5vo,Canon,Canon EOS 5D Mark III,3200.0,16.0,2.8,30,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
89,89,Q5Qe0WI66_4,NIKON CORPORATION,NIKON D750,800.0,50.0,2.2,1/60,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0
90,90,k-pNQB0koNo,Canon,Canon EOS 70D,100.0,60.0,4.0,1/400,1,0.0,0.0,1.0,1.0,2.0,0.0,1.0
91,91,WnB-gKIt1qo,Canon,Canon EOS REBEL T5i,100.0,18.0,10.0,30,1,0.0,0.0,1.0,2.0,0.0,0.0,0.0
92,92,UMrOAVh_GrY,Canon,Canon EOS 7D,1000.0,700.0,6.3,1/320,1,1.0,1.0,1.0,2.0,2.0,1.0,2.0
94,94,d6kSvT2xZQo,Apple,iPhone 5s,40.0,4.2,2.2,1/120,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
95,95,b7TuxjXs9j8,Canon,Canon EOS 5D Mark III,200.0,28.0,2.5,1/800,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0
96,96,4brY6pFNZMg,Canon,Canon EOS 600D,200.0,50.0,1.8,1/640,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
97,97,YWhRvW7KRJY,Canon,Canon EOS 5D Mark II,160.0,80.0,4.0,1/500,1,0.0,0.0,1.0,1.0,2.0,0.0,1.0
98,98,SDS53BJhAwc,Canon,Canon EOS DIGITAL REBEL XT,400.0,50.0,8.0,1/400,1,0.0,0.0,1.0,2.0,2.0,0.0,1.0
99,99,7gZEY7tY9C4,NIKON CORPORATION,NIKON D800,1600.0,14.0,2.8,20,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0
100,100,x6RO8lNSzpo,Canon,Canon EOS 70D,100.0,135.0,7.1,1/8000,1,0.0,0.0,1.0,2.0,2.0,1.0,2.0
101,101,-qRnt_BkJH4,Canon,Canon EOS 450D,100.0,70.0,8.0,1/320,1,0.0,0.0,1.0,2.0,2.0,0.0,1.0
102,102,qS-SDG7umac,SAMSUNG,GT-I9082,80.0,3.7,2.6,1/134,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
103,103,qn9r2gMDWzs,Canon,Canon EOS 450D,100.0,34.0,5.6,1/100,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0
104,104,4jcFu1byopQ,NIKON CORPORATION,NIKON D90,160.0,50.0,3.5,0.5,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
105,105,dff39L7dRY4,NIKON CORPORATION,NIKON D5200,100.0,10.0,3.5,1/1250,1,0.0,0.0,0.0,1.0,2.0,0.0,0.0
106,106,y692nLSXiaU,NIKON CORPORATION,NIKON D7100,100.0,50.0,1.8,1/1600,1,0.0,0.0,0.0,0.0,2.0,0.0,1.0
107,107,i_ivTcj8GFo,Apple,iPhone 5,50.0,4.1,2.4,1/1043,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0
108,108,OBkWp-1lxjM,"RICOH IMAGING COMPANY, LTD.",PENTAX K-3 II,200.0,15.0,11.0,1/100,1,0.0,0.0,1.0,2.0,1.0,0.0,0.0
109,109,wkRHXxsZTvc,FUJIFILM,X100S,320.0,23.0,4.0,1/500,1,0.0,0.0,1.0,1.0,2.0,0.0,0.0
111,111,sirEpWjfSmo,NIKON CORPORATION,NIKON D5200,400.0,135.0,6.0,1/500,1,0.0,0.0,1.0,2.0,2.0,1.0,2.0
112,112,NXB51Lc1RdM,NIKON CORPORATION,NIKON D600,100.0,50.0,1.8,1/2500,1,0.0,0.0,0.0,0.0,2.0,0.0,1.0
113,113,aPCf4QhVsN4,NIKON CORPORATION,NIKON D3000,200.0,48.0,5.6,1/320,1,0.0,0.0,1.0,1.0,2.0,0.0,1.0
114,114,4Xb9AqocdCc,Canon,Canon EOS 6D,125.0,135.0,2.8,1/250,1,0.0,0.0,0.0,0.0,1.0,1.0,2.0
115,115,kx8FdCycanQ,SONY,ILCE-7M2,100.0,16.0,6.3,1/400,0,0.0,0.0,1.0,2.0,2.0,0.0,0.0
116,116,bkZlfn8Rccc,NIKON CORPORATION,NIKON D3200,100.0,46.0,8.0,1/200,1,0.0,0.0,1.0,2.0,1.0,0.0,1.0
117,117,_DJZtCTiclo,Canon,Canon EOS 400D DIGITAL,200.0,50.0,1.4,1/200,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
118,118,vs6a4EHj_Ro,FUJIFILM,X-T1,200.0,23.0,2.2,1/500,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
119,119,L9oSwk12WKk,Canon,Canon EOS 7D,320.0,21.0,5.6,1/30,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0
120,120,TB4hpi1nfJQ,NIKON CORPORATION,NIKON D810,200.0,24.0,2.8,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,122,-sCzwQ6D1-g,Canon,Canon EOS 60D,640.0,200.0,2.8,1/1250,1,1.0,1.0,0.0,0.0,2.0,1.0,2.0
123,123,vSjvVsebqrc,Canon,Canon EOS 5D Mark II,100.0,140.0,2.8,1/320,1,0.0,0.0,0.0,0.0,2.0,1.0,2.0
124,124,UFzAiLIwsNM,Canon,Canon EOS 1200D,100.0,85.0,8.0,1/250,1,0.0,0.0,1.0,2.0,1.0,0.0,1.0
125,125,pTPcbdUzlyY,Canon,Canon EOS 6D,5000.0,24.0,16.0,1/320,1,1.0,2.0,1.0,2.0,2.0,0.0,0.0
126,126,vLbtQEx64RU,NIKON CORPORATION,NIKON D5000,200.0,200.0,10.0,1/320,1,0.0,0.0,1.0,2.0,2.0,1.0,2.0
127,127,cKTGIXC9dHc,NIKON CORPORATION,NIKON D800,640.0,24.0,7.1,1/125,1,1.0,1.0,1.0,2.0,1.0,0.0,0.0
128,128,JZ4GNQzNxTU,NIKON CORPORATION,NIKON D3200,100.0,52.0,8.0,0.5,1,0.0,0.0,1.0,2.0,0.0,0.0,1.0
129,129,mUP8w6dENrY,Canon,Canon EOS 5D Mark III,250.0,35.0,10.0,1/800,1,0.0,0.0,1.0,2.0,2.0,0.0,0.0
130,130,ke-sGAA8w64,FUJIFILM,X100S,200.0,23.0,2.0,1/1000,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0
132,132,9wg5jCEPBsw,NIKON CORPORATION,NIKON D7000,100.0,50.0,6.3,1/800,1,0.0,0.0,1.0,2.0,2.0,0.0,1.0
133,133,JzQUxNdjbZM,SAMSUNG,NX300,3200.0,25.0,4.0,1/30,1,1.0,2.0,1.0,1.0,1.0,0.0,0.0
134,134,ZEd44nDPTfA,NIKON CORPORATION,NIKON D810,100.0,200.0,5.6,1/250,1,0.0,0.0,1.0,1.0,1.0,1.0,2.0
135,135,rg3F_zlBlnA,OLYMPUS IMAGING CORP.,E-M10,200.0,17.0,2.2,1/2000,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0
136,136,8fYhrgV_IWg,Canon,Canon EOS 1100D,100.0,39.0,6.3,1/1000,0,0.0,0.0,1.0,2.0,2.0,0.0,1.0
137,137,_4HhZOUEwmw,FUJIFILM,X100S,800.0,23.0,5.6,1/500,1,1.0,1.0,1.0,1.0,2.0,0.0,0.0
138,138,P7w9VrUo9vU,Canon,Canon EOS 5D Mark III,3200.0,70.0,2.8,1/60,1,1.0,2.0,0.0,0.0,1.0,0.0,1.0
139,139,CYLYOTWE01o,SONY,ILCE-6000,100.0,16.0,6.3,1/800,1,0.0,0.0,1.0,2.0,2.0,0.0,0.0
140,140,XlFGKCeuIOw,NIKON CORPORATION,NIKON D810,400.0,50.0,2.5,1/125,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
142,142,BUxLdXAsz8c,Canon,Canon EOS 5D Mark III,800.0,42.0,2.8,1/60,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0
144,144,v4YtpXknYLY,Canon,Canon EOS 5D Mark III,100.0,55.0,5.0,1/80,1,0.0,0.0,1.0,1.0,1.0,0.0,1.0
145,145,qbtyUQtqJ8k,Canon,Canon EOS REBEL T3,100.0,18.0,4.5,1/100,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0
146,146,yyilgcRTlNw,SONY,ILCE-5000,100.0,16.0,11.0,1/250,1,0.0,0.0,1.0,2.0,1.0,0.0,0.0
147,147,Y9rurJkOVxk,FUJIFILM,X100S,800.0,23.0,5.6,1/340,1,1.0,1.0,1.0,1.0,2.0,0.0,0.0
148,148,WCrchkdrlwI,Canon,Canon EOS 5D Mark III,320.0,58.0,6.3,1/125,1,0.0,0.0,1.0,2.0,1.0,0.0,1.0
149,149,WUC1wC8pP9A,FUJIFILM,X-T10,1600.0,35.0,1.0,1/60,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0
150,150,o31cz2XQDFw,SONY,ILCE-7,640.0,35.0,8.0,1/400,1,1.0,1.0,1.0,2.0,2.0,0.0,0.0
151,151,FKbg8jbLMQ8,Canon,Canon EOS REBEL T3i,100.0,24.0,10.0,1/250,1,0.0,0.0,1.0,2.0,1.0,0.0,0.0
152,152,jeWWV3OqN78,NIKON CORPORATION,NIKON D750,1000.0,280.0,10.0,1/4000,1,1.0,1.0,1.0,2.0,2.0,1.0,2.0
153,153,-ftqFUopdDs,Canon,Canon EOS 5D Mark II,125.0,45.0,13.0,1/100,1,0.0,0.0,1.0,2.0,1.0,0.0,1.0
155,155,Sa7787z58VQ,NIKON CORPORATION,NIKON 1 V1,100.0,30.0,10.0,1/160,1,0.0,0.0,1.0,2.0,1.0,0.0,0.0
156,156,SWfcRVm-o0E,SONY,ILCE-7M2,100.0,19.0,10.0,1/320,1,0.0,0.0,1.0,2.0,2.0,0.0,0.0
157,157,Swfc6shtGP4,Canon,Canon EOS 5D Mark III,200.0,50.0,1.6,1/250,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
158,158,LZErFqDvkpk,Canon,Canon EOS 7D,100.0,50.0,2.2,1/5000,1,0.0,0.0,0.0,0.0,2.0,0.0,1.0
160,160,LWzoYFmSRxc,Apple,iPhone 5s,32.0,4.2,2.2,1/275,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
161,161,rldNiZx1fNI,NIKON CORPORATION,NIKON D5200,100.0,30.0,5.6,1/1000,1,0.0,0.0,1.0,1.0,2.0,0.0,0.0
163,163,V2I277IbS08,Canon,Canon EOS 7D,200.0,85.0,2.8,1/800,1,0.0,0.0,0.0,0.0,2.0,0.0,1.0
164,164,zQBSte4Rn3s,NIKON CORPORATION,NIKON D80,125.0,17.0,10.0,1/60,1,0.0,0.0,1.0,2.0,1.0,0.0,0.0
166,166,TfrraGFywuQ,Canon,Canon EOS 5D Mark II,1000.0,135.0,5.6,1/400,1,1.0,1.0,1.0,1.0,2.0,1.0,2.0
167,167,_omuigahLco,SONY,ILCE-6000,320.0,24.0,4.0,1/60,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0
168,168,KbhmP_uoqTY,NIKON CORPORATION,NIKON D7000,800.0,155.0,4.5,1/125,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0
169,169,tHe4kd2ZI3U,Canon,Canon EOS 600D,6400.0,42.0,5.0,1/80,1,1.0,2.0,1.0,1.0,1.0,0.0,1.0
170,170,BGB9Eidt30I,Panasonic,DMC-GH4,200.0,20.0,1.7,1/2500,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0
171,171,G2ifDHnHZ6Y,NIKON CORPORATION,NIKON D7000,3200.0,11.0,3.2,25,0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
172,172,bXHlgb58_co,Canon,Canon EOS 600D,100.0,18.0,10.0,1/250,1,0.0,0.0,1.0,2.0,1.0,0.0,0.0
173,173,YMMXnBHhvCo,FUJIFILM,X-T1,800.0,16.0,2.0,1/2500,1,1.0,1.0,0.0,0.0,2.0,0.0,0.0
174,174,EXbGG5dBZKw,Canon,Canon PowerShot G7 X,250.0,8.8,4.0,1/640,0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
175,175,-s1w1SguZTI,Canon,Canon PowerShot G7 X,125.0,24.1,4.0,1/125,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0
176,176,LMgynmNmSGY,NIKON CORPORATION,NIKON D750,100.0,85.0,3.5,1/200,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0
177,177,ILnBrcYVXr4,Canon,Canon EOS 5D Mark III,100.0,105.0,16.0,1/125,1,0.0,0.0,1.0,2.0,1.0,1.0,2.0
178,178,gvoHcmM47R4,Canon,Canon EOS 7D,400.0,24.0,7.1,1/3200,1,0.0,0.0,1.0,2.0,2.0,0.0,0.0
179,179,9BbAmtCGpWY,Canon,Canon PowerShot G7 X,125.0,8.8,3.2,1/1250,1,0.0,0.0,0.0,1.0,2.0,0.0,0.0
181,181,DqXPh4wrA20,Canon,Canon PowerShot G7 X,200.0,17.4,4.0,1/200,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0
182,182,PdJjT-zYg_E,Canon,Canon EOS 7D Mark II,100.0,70.0,4.0,1/160,1,0.0,0.0,1.0,1.0,1.0,0.0,1.0
183,183,IZ01rjX0XQA,FUJIFILM,X-E2,200.0,18.0,11.0,1/350,1,0.0,0.0,1.0,2.0,2.0,0.0,0.0
185,185,23B9fajPhho,NIKON CORPORATION,NIKON D5000,1600.0,55.0,4.0,1/10,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0
186,186,KD8jKVdCFoQ,NIKON CORPORATION,NIKON D5100,200.0,105.0,5.6,1/125,1,0.0,0.0,1.0,1.0,1.0,1.0,2.0
187,187,Gl48sm4Od6g,SONY,ILCE-7M2,100.0,29.0,11.0,1/200,1,0.0,0.0,1.0,2.0,1.0,0.0,0.0
188,188,7MBgGXQ2Rqg,Canon,Canon EOS Kiss X4,100.0,50.0,1.8,1/4000,1,0.0,0.0,0.0,0.0,2.0,0.0,1.0
189,189,EfhCUc_fjrU,SONY,ILCE-6000,100.0,50.0,10.0,0.4,1,0.0,0.0,1.0,2.0,0.0,0.0,1.0
190,190,agE97zp_Xvo,SAMSUNG TECHWIN Co.,SAMSUNG GX10,400.0,40.0,9.5,1/750,0,0.0,0.0,1.0,2.0,2.0,0.0,1.0
191,191,0WrZceP8V28,Canon,Canon EOS REBEL T3i,100.0,24.0,9.0,1/640,1,0.0,0.0,1.0,2.0,2.0,0.0,0.0
192,192,c8_nS7lF3eo,Canon,Canon EOS REBEL T3i,200.0,100.0,2.8,1/400,1,0.0,0.0,0.0,0.0,2.0,1.0,2.0
193,193,VyZTJ_FRqJc,NIKON CORPORATION,NIKON D5500,200.0,55.0,5.6,1/100,1,0.0,0.0,1.0,1.0,1.0,0.0,1.0
194,194,PpZiXBY7_Nw,NIKON CORPORATION,NIKON D750,100.0,20.0,8.0,1/200,1,0.0,0.0,1.0,2.0,1.0,0.0,0.0
195,195,ijz0gXqaNrU,Canon,Canon EOS 5D,640.0,105.0,8.0,1/250,1,1.0,1.0,1.0,2.0,1.0,1.0,2.0
196,196,bFFJj1UM8N0,Canon,Canon EOS 6D,500.0,50.0,3.5,1/4000,1,1.0,1.0,0.0,1.0,2.0,0.0,1.0
197,197,bbuMCIRFXiQ,Canon,Canon EOS 5D Mark II,100.0,100.0,6.3,1/250,1,0.0,0.0,1.0,2.0,1.0,1.0,2.0
198,198,FQGW34aZb1I,SAMSUNG,NX500,100.0,16.0,7.1,1/320,1,0.0,0.0,1.0,2.0,2.0,0.0,0.0
199,199,U22mr8QmDvE,Canon,Canon EOS REBEL T3i,100.0,35.0,7.1,1/125,1,0.0,0.0,1.0,2.0,1.0,0.0,0.0
201,201,FZqISnUVsL0,Canon,Canon EOS 1100D,100.0,18.0,3.5,1/2000,1,0.0,0.0,0.0,1.0,2.0,0.0,0.0
202,202,KwVbDSCb-bI,Apple,iPhone 5,200.0,4.1,2.4,1/237,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
203,203,_QwBXZ7NQ78,NIKON CORPORATION,NIKON D3000,200.0,50.0,10.0,1/200,1,0.0,0.0,1.0,2.0,1.0,0.0,1.0
204,204,F0dmGPe2KG0,NIKON CORPORATION,NIKON D5500,1800.0,200.0,4.0,1/320,0,1.0,2.0,1.0,1.0,2.0,1.0,2.0
206,206,V6If1LurrhU,NIKON CORPORATION,NIKON D610,640.0,55.0,4.5,1/2000,1,1.0,1.0,1.0,1.0,2.0,0.0,1.0
207,207,R_qUr2FqvlI,SONY,ILCE-6000,100.0,30.0,10.0,44,1,0.0,0.0,1.0,2.0,0.0,0.0,0.0
208,208,ebRanmiyixs,Canon,Canon EOS 5D,3200.0,50.0,2.8,10,1,1.0,2.0,0.0,0.0,0.0,0.0,1.0
