,Unnamed: 0,photo_id,exif_camera_make,exif_camera_model,exif_iso,exif_focal_length,exif_aperture_value,exif_exposure_time,orientation,iso_noise_bin_label,iso_noise_label,DoF_bin,DoF,exposure_label,focal_label_bin,focal_label
514,514,l3GaHpldUs8,Google,Pixel 2 XL,90.0,4.5,1.8,1/1500,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
515,515,7UFvf-r8P0I,Canon,Canon EOS 80D,100.0,24.0,2.8,1/640,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
517,517,Fox_fDW_36A,Canon,Canon EOS 5D Mark IV,1000.0,70.0,4.0,1/320,0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
518,518,XWInxudi0JM,Canon,Canon EOS 6D,100.0,85.0,5.6,1/500,0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
520,520,0BVBTXuh2tA,Google,Pixel 2,59.0,4.4,1.8,1/5800,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
523,523,v1Mxj6AD-FE,Canon,Canon EOS 6D,100.0,85.0,5.6,1/1000,0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
524,524,FKKMDuOT57k,NIKON CORPORATION,NIKON D7100,100.0,50.0,3.2,1/2000,0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
529,529,oakCf0sQT18,Canon,Canon PowerShot G5 X,640.0,36.8,10.0,1/500,0,1.0,1.0,1.0,2.0,2.0,0.0,1.0
532,532,zH3lXIVgpRM,Panasonic,DC-G9,100.0,14.0,2.5,1/640,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
534,534,dtWVBGY5PS0,Canon,Canon EOS 5D Mark III,100.0,70.0,11.0,24,0,0.0,0.0,1.0,2.0,0.0,0.0,1.0
538,538,-xLy69vFazs,Canon ,6D Mark II,160.0,56.0,2.8,1/1000,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
540,540,pZdi_8Zz75c,NIKON CORPORATION,NIKON D7000,400.0,50.0,2.8,1/60,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
543,543,SdAiz5q0KV4,Canon,Canon EOS 5D Mark IV,2500.0,15.0,2.8,10,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
546,546,rguj49-IEnQ,SONY,ILCE-7RM3,100.0,55.0,4.0,1/3200,0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
549,549,1TSFZpdOaW4,NIKON CORPORATION,NIKON D800,400.0,200.0,8.0,1/320,0,0.0,0.0,1.0,2.0,2.0,1.0,2.0
552,552,m-MaEPOxKNE,SONY,ILCE-7M3,100.0,70.0,7.1,1/500,0,0.0,0.0,1.0,2.0,2.0,0.0,1.0
553,553,neVC3KwUv5s,DJI,FC220,100.0,4.7,2.2,1/140,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
554,554,VvYzZeTAqm4,NIKON CORPORATION,NIKON D750,100.0,200.0,2.8,1/200,0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
557,557,aNzyRSIv7fE,NIKON CORPORATION,NIKON D800,100.0,24.0,2.8,1/200,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
559,559,hcVtC5pgZTY,NIKON CORPORATION,NIKON D7100,100.0,230.0,5.0,1/500,0,0.0,0.0,0.0,1.0,2.0,1.0,2.0
562,562,bebw3CvfOlU,Canon,Canon EOS 6D,250.0,70.0,6.3,1/100,0,0.0,0.0,1.0,2.0,1.0,0.0,1.0
563,563,bmP8_ADi6wU,Nikon,D750,100.0,105.0,18.0,1/200,0,0.0,0.0,1.0,2.0,1.0,1.0,2.0
565,565,NCCadIuk-pY,NIKON CORPORATION,NIKON D90,640.0,75.0,4.0,1/80,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
567,567,cAdVc6gIzVQ,Canon,Canon EOS 5D Mark IV,100.0,24.0,2.8,1/320,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
572,572,Sh9ltPas49Q,NIKON CORPORATION,NIKON D3400,800.0,35.0,1.8,1/250,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
573,573,6uYZHJoXrn8,SONY,ILCE-7RM3,100.0,85.0,1.4,1/100,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
574,574,R01v7vFyZGo,Canon,Canon EOS 1300D,100.0,24.0,9.0,1/320,0,0.0,0.0,1.0,2.0,2.0,0.0,0.0
577,577,I8Fp_haYiLw,Apple,iPhone 8 Plus,20.0,4.0,1.8,1/1548,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
582,582,wf8WxQJipkA,Canon,Canon EOS 5D Mark IV,640.0,200.0,2.8,1/500,0,1.0,1.0,0.0,0.0,2.0,1.0,2.0
583,583,HgDOBK2POUM,SONY,ILCE-7RM2,1000.0,62.0,5.0,1/160,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
584,584,kZuLR2H-CCs,Canon,Canon EOS 80D,800.0,81.0,5.6,1/125,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
587,587,IHGievc9q70,Canon,Canon EOS 1200D,100.0,50.0,1.4,1/250,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
588,588,4qZxI1Ac01c,Canon,Canon EOS 5D Mark III,400.0,35.0,8.0,1/4000,0,0.0,0.0,1.0,2.0,2.0,0.0,0.0
591,591,UxArzYUBXpI,NIKON CORPORATION,NIKON D750,100.0,105.0,16.0,2,0,0.0,0.0,1.0,2.0,0.0,1.0,2.0
592,592,6eFqAdkeRKQ,Canon,Canon EOS 600D,100.0,270.0,11.0,1/250,0,0.0,0.0,1.0,2.0,1.0,1.0,2.0
601,601,YflB1tUAS1c,Canon,Canon EOS 5DS,100.0,50.0,1.4,1/8000,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
602,602,5B4PbZzKVBw,Canon,Canon EOS 600D,100.0,50.0,1.4,1/750,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
604,604,2cXz6dZ7jVE,NIKON CORPORATION,NIKON D750,125.0,70.0,18.0,5,0,0.0,0.0,1.0,2.0,0.0,0.0,1.0
607,607,dDdZ-cbku7I,NIKON CORPORATION,NIKON D5300,100.0,22.0,8.0,1/50,0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
609,609,rvYTYQJoW3c,Canon,Canon EOS 5D Mark III,1600.0,235.0,5.0,1/640,0,1.0,1.0,0.0,1.0,2.0,1.0,2.0
614,614,ZPRJBwzY-Cg,SONY,ILCE-7RM2,160.0,28.0,2.0,1/125,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
615,615,24BXMwhpFGg,SONY,ILCE-6300,160.0,30.0,1.4,1/100,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
623,623,fJInpDsM-Mw,Apple,iPhone 7,20.0,4.0,1.8,1/3200,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
627,627,4x82dSkKqEs,NIKON CORPORATION,NIKON D5300,100.0,35.0,3.2,1/200,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
630,630,uYp5bsGm-2E,Canon,Canon EOS 6D,1250.0,85.0,11.0,1/90,0,1.0,1.0,1.0,2.0,1.0,0.0,1.0
642,642,eSB6hpSU1hk,Canon,Canon EOS 6D,100.0,85.0,2.5,1/4000,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
644,644,INhXT8mOB00,Canon,Canon EOS 6D,160.0,50.0,1.2,1/4000,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
651,651,xqC7hdLMpgk,NIKON CORPORATION,NIKON D5200,100.0,35.0,1.8,1/50,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
653,653,CyArU4hGG04,Canon,Canon EOS 6D Mark II,100.0,50.0,2.2,1/400,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
657,657,Z38tG-Wk2IQ,Canon,Canon EOS 6D,100.0,35.0,2.8,1/4000,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
658,658,vDX1H7HPyus,NIKON CORPORATION,NIKON D3400,400.0,35.0,1.8,1/1250,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
661,661,K50_EI8qwDE,Canon,Canon EOS 500D,100.0,50.0,3.5,1/1000,0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
662,662,lgyV1UrUpvY,Canon,Canon EOS 5D Mark III,800.0,220.0,6.3,1/1000,0,1.0,1.0,1.0,2.0,2.0,1.0,2.0
664,664,F0VCL60pArg,Hasselblad,L1D-20c,100.0,10.3,5.6,1/240,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
666,666,QrRSm-QbjW0,FUJIFILM,X-T1,200.0,56.0,3.6,1/140,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
667,667,eNSr7jJXm_4,NIKON CORPORATION,NIKON D750,100.0,24.0,7.1,25,0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
668,668,zRtPCjFUiC8,Canon,Canon EOS 5D,400.0,35.0,2.0,1/8000,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
670,670,X8X5l0BDPk0,Canon,Canon EOS 7D,1000.0,50.0,3.5,1/800,0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
675,675,pzwy4dL_huU,DJI,FC6310,200.0,8.8,2.8,1/1000,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
677,677,gTccxJuh2qs,Canon,Canon EOS 5D Mark IV,100.0,17.0,4.0,1/100,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
679,679,oLIK3KOkWh4,NIKON CORPORATION,NIKON D5300,400.0,55.0,5.6,1/3200,0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
681,681,UjbaffVRsYc,NIKON CORPORATION,NIKON D5300,1250.0,50.0,1.8,1/2000,0,1.0,1.0,0.0,0.0,2.0,0.0,1.0
685,685,mKlqiRl9gVw,Canon,Canon EOS 700D,100.0,50.0,1.8,1/3200,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
690,690,ooaXQSN2RVc,DJI,FC220,100.0,4.7,2.2,1/4000,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
692,692,FemzgBWP7tE,Canon,Canon EOS 750D,200.0,50.0,1.8,1/640,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
693,693,y4eZB73FFU4,Canon,Canon EOS 6D,100.0,50.0,2.8,1/2000,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
696,696,718nqUl20Mo,Canon,Canon EOS Rebel T7i,800.0,50.0,1.8,1/400,0,1.0,1.0,0.0,0.0,2.0,0.0,1.0
700,700,f9h2BCbcFGU,Panasonic,DMC-GX7,200.0,20.0,2.5,1/200,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
702,702,RGFntcLI8Go,NIKON CORPORATION,NIKON D700,200.0,50.0,16.0,1.3,0,0.0,0.0,1.0,2.0,0.0,0.0,1.0
706,706,iflUHY8zMYc,Canon,Canon EOS 5D Mark IV,500.0,17.0,4.0,1/250,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
708,708,yKODRI_6NjE,Canon,Canon EOS 6D,100.0,85.0,4.5,1/250,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
710,710,wHm-Yos67KM,NIKON CORPORATION,NIKON D5100,160.0,50.0,1.8,1/640,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
712,712,7HME278EgxQ,Canon,Canon EOS 5D Mark IV,320.0,35.0,2.5,1/200,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
713,713,ao6LnfSepTk,Apple,iPhone 7 Plus,20.0,4.0,1.8,1/929,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
719,719,IE2Z11zKsso,Canon,Canon EOS 80D,160.0,24.0,2.8,1/200,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
723,723,wypWVHGOgns,NIKON CORPORATION,NIKON D5300,900.0,35.0,4.5,1/60,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
730,730,cR88oyyXdPk,NIKON CORPORATION,NIKON D5200,400.0,35.0,6.3,1/250,0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
732,732,wmRxznq4Ako,Canon,Canon EOS 60D,2500.0,100.0,4.0,1/400,0,1.0,2.0,0.0,1.0,2.0,1.0,2.0
735,735,UNGYOAr0w5k,Canon,Canon EOS 80D,100.0,24.0,2.8,1/3200,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
737,737,zH8YU5X1mGc,Canon,Canon EOS Rebel T6i,100.0,50.0,2.2,1/4000,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
739,739,aYCNRZX-1uc,NIKON CORPORATION,NIKON D7000,100.0,18.0,8.0,20,0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
742,742,IDC5zZVNxmU,Canon,Canon EOS 5D Mark III,100.0,35.0,10.0,1/160,0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
743,743,-lslpw4q2uE,Apple,iPhone X,20.0,4.0,1.8,1/123,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
744,744,qBT44OJWNd8,Canon,Canon EOS 5D Mark III,200.0,160.0,2.8,1/320,0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
745,745,a1Lm99Kkqtg,Hasselblad,L1D-20c,200.0,10.3,2.8,1/800,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
747,747,_V2CVQQTrAE,NIKON CORPORATION,NIKON D750,800.0,38.0,2.8,114,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
748,748,0QWazupn9Ak,DJI,FC2103,100.0,4.5,2.8,1/150,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
752,752,TD07YqJr280,NIKON CORPORATION,NIKON D3400,100.0,145.0,6.0,1/400,0,0.0,0.0,1.0,2.0,2.0,1.0,2.0
754,754,wJG1mfBAhAE,Canon,Canon EOS 100D,100.0,27.0,5.6,1/100,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
755,755,ZVcdVxjACGI,Canon,Canon EOS 6D,100.0,50.0,2.2,1/640,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
756,756,2gi8sXHejxc,NIKON CORPORATION,NIKON D5200,400.0,45.0,5.6,1/160,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
762,762,YShS0gEZSB4,Canon,Canon EOS REBEL T3i,200.0,85.0,1.8,1/320,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
764,764,AvOUmlZZMyY,Apple,iPhone XS Max,16.0,6.0,2.4,1/470,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
766,766,obxjtll5jHI,Canon,Canon EOS 5D Mark IV,200.0,90.0,2.8,1/125,0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
769,769,VB3cvKx9-Hc,Canon,Canon EOS Rebel T6,100.0,50.0,1.8,1/30,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
771,771,QSLJ5GfqnII,Canon,EOS 600D,200.0,50.0,1.8,1/500,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
775,775,qvkA4FMTNKo,SONY,ILCE-7,100.0,35.0,2.8,1/800,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
779,779,-Ui26s8zR-c,Canon,Canon EOS 70D,200.0,35.0,1.4,1/320,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
