photo_id,exif_camera_make,exif_camera_model,exif_iso,exif_focal_length,exif_aperture_value,exif_exposure_time,orientation,iso_noise_bin_label,iso_noise_label,DoF_bin,DoF,exposure_label,focal_label_bin,focal_label
3CjX86heiUk,NIKON CORPORATION,NIKON D300,100,10,16,1/60,1,0,0,1,2,1,0,0
JQ3GQzG3iX4,SONY,ILCE-7M2,200,140,4,1/200,1,0,0,1,1,1,1,2
th4bqV0PQpI,Canon,Canon EOS 6D,200,24,5,1/2500,1,0,0,1,1,2,0,0
j2HQKlLFT_c,Apple,iPhone 6,32,4.2,2.2,1/3300,1,0,0,0,0,2,0,0
esax_xh52zg,Apple,iPhone 5c,50,4.1,2.4,1/196,1,0,0,0,0,1,0,0
hSVAoeksQ7c,NIKON CORPORATION,NIKON D3100,100,13,25,8,1,0,0,1,2,0,0,0
xJqXTBt95tA,Apple,iPhone 5s,32,4.2,2.2,1/6849,0,0,0,0,0,2,0,0
Luwp6HZB2Oo,SONY,SLT-A77V,80,300,5.6,1/250,1,0,0,1,1,1,1,2
NxzovEuz878,NIKON CORPORATION,NIKON D50,200,19,7.1,1/200,1,0,0,1,2,1,0,0
-uzgaA9LfNw,Canon,Canon EOS 5D Mark III,100,24,22,30,1,0,0,1,2,0,0,0
o7pBoWgW6Gc,Canon,Canon EOS REBEL T2i,100,70,8,1/250,1,0,0,1,2,1,0,1
YN0TsnkaZBU,OLYMPUS IMAGING CORP.,E-M10,200,42,8,1/200,1,0,0,1,2,1,0,1
-bAy8jTPWVo,Canon,Canon EOS 1100D,640,38,6.3,1/60,1,1,1,1,2,1,0,1
UmDCqXIvty8,Panasonic,DMC-GX7,125,60,2.8,1/320,1,0,0,0,0,2,0,1
1vYkQVDWXl0,Canon,Canon EOS 60D,400,50,1.8,1/100,1,0,0,0,0,1,0,1
GfuxOPaitSs,Canon,Canon PowerShot SX50 HS,80,13,4.5,15,1,0,0,1,1,0,0,0
QTVi7cvYm0k,,,,,,,1,,,,,,,
2NyNF1mrYGY,NIKON CORPORATION,NIKON D3200,100,18,8,1/250,1,0,0,1,2,1,0,0
kirY8T8kskM,FUJIFILM,XF1,100,6.4,4,1/250,1,0,0,1,1,1,0,0
DBmFFXczGWM,Canon,Canon EOS 7D,500,22,18,1/200,1,1,1,1,2,1,0,0
MaAGeHnXl9g,Canon,Canon PowerShot G12,125,7.4,4,1/500,1,0,0,1,1,2,0,0
PQYovEfGC_I,SONY,NEX-5N,100,,,,1,0,0,,,,,
trELt4tpj7w,Canon,Canon EOS 5D Mark II,400,300,5.6,1/250,1,0,0,1,1,1,1,2
JHHDUs23wjA,Canon,Canon EOS 5D Mark III,1250,28,4,1/50,1,1,1,1,1,1,0,0
F-t5EpfQNpk,Canon,Canon EOS Kiss X6i,1600,100,5.6,1/2000,1,1,1,1,1,2,1,2
5EDTkkHRCgg,NIKON CORPORATION,NIKON D90,200,25,13,1/5,1,0,0,1,2,1,0,0
mYXXokN8HZ0,SONY,DSC-HX200V,100,4.8,2.8,1/1000,0,0,0,0,0,2,0,0
2KXEb_8G5vo,Canon,Canon EOS 5D Mark III,3200,16,2.8,30,0,1,2,0,0,0,0,0
Q5Qe0WI66_4,NIKON CORPORATION,NIKON D750,800,50,2.2,1/60,1,1,1,0,0,1,0,1
k-pNQB0koNo,Canon,Canon EOS 70D,100,60,4,1/400,1,0,0,1,1,2,0,1
WnB-gKIt1qo,Canon,Canon EOS REBEL T5i,100,18,10,30,1,0,0,1,2,0,0,0
UMrOAVh_GrY,Canon,Canon EOS 7D,1000,700,6.3,1/320,1,1,1,1,2,2,1,2
0mtnfThbrMA,,,,,,,1,,,,,,,
d6kSvT2xZQo,Apple,iPhone 5s,40,4.2,2.2,1/120,1,0,0,0,0,1,0,0
b7TuxjXs9j8,Canon,Canon EOS 5D Mark III,200,28,2.5,1/800,1,0,0,0,0,2,0,0
4brY6pFNZMg,Canon,Canon EOS 600D,200,50,1.8,1/640,0,0,0,0,0,2,0,1
YWhRvW7KRJY,Canon,Canon EOS 5D Mark II,160,80,4,1/500,1,0,0,1,1,2,0,1
SDS53BJhAwc,Canon,Canon EOS DIGITAL REBEL XT,400,50,8,1/400,1,0,0,1,2,2,0,1
7gZEY7tY9C4,NIKON CORPORATION,NIKON D800,1600,14,2.8,20,1,1,1,0,0,0,0,0
x6RO8lNSzpo,Canon,Canon EOS 70D,100,135,7.1,1/8000,1,0,0,1,2,2,1,2
-qRnt_BkJH4,Canon,Canon EOS 450D,100,70,8,1/320,1,0,0,1,2,2,0,1
qS-SDG7umac,SAMSUNG,GT-I9082,80,3.7,2.6,1/134,1,0,0,0,0,1,0,0
qn9r2gMDWzs,Canon,Canon EOS 450D,100,34,5.6,1/100,1,0,0,1,1,1,0,0
4jcFu1byopQ,NIKON CORPORATION,NIKON D90,160,50,3.5,0.5,1,0,0,0,1,0,0,1
dff39L7dRY4,NIKON CORPORATION,NIKON D5200,100,10,3.5,1/1250,1,0,0,0,1,2,0,0
y692nLSXiaU,NIKON CORPORATION,NIKON D7100,100,50,1.8,1/1600,1,0,0,0,0,2,0,1
i_ivTcj8GFo,Apple,iPhone 5,50,4.1,2.4,1/1043,1,0,0,0,0,2,0,0
OBkWp-1lxjM,"RICOH IMAGING COMPANY, LTD.",PENTAX K-3 II,200,15,11,1/100,1,0,0,1,2,1,0,0
wkRHXxsZTvc,FUJIFILM,X100S,320,23,4,1/500,1,0,0,1,1,2,0,0
q75_AMCgsZU,,,,,,,1,,,,,,,
sirEpWjfSmo,NIKON CORPORATION,NIKON D5200,400,135,6,1/500,1,0,0,1,2,2,1,2
NXB51Lc1RdM,NIKON CORPORATION,NIKON D600,100,50,1.8,1/2500,1,0,0,0,0,2,0,1
aPCf4QhVsN4,NIKON CORPORATION,NIKON D3000,200,48,5.6,1/320,1,0,0,1,1,2,0,1
4Xb9AqocdCc,Canon,Canon EOS 6D,125,135,2.8,1/250,1,0,0,0,0,1,1,2
kx8FdCycanQ,SONY,ILCE-7M2,100,16,6.3,1/400,0,0,0,1,2,2,0,0
bkZlfn8Rccc,NIKON CORPORATION,NIKON D3200,100,46,8,1/200,1,0,0,1,2,1,0,1
_DJZtCTiclo,Canon,Canon EOS 400D DIGITAL,200,50,1.4,1/200,1,0,0,0,0,1,0,1
vs6a4EHj_Ro,FUJIFILM,X-T1,200,23,2.2,1/500,0,0,0,0,0,2,0,0
L9oSwk12WKk,Canon,Canon EOS 7D,320,21,5.6,1/30,1,0,0,1,1,1,0,0
TB4hpi1nfJQ,NIKON CORPORATION,NIKON D810,200,24,2.8,10,1,0,0,0,0,0,0,0
1NKYcxSIw8g,,,,,,,1,,,,,,,
-sCzwQ6D1-g,Canon,Canon EOS 60D,640,200,2.8,1/1250,1,1,1,0,0,2,1,2
vSjvVsebqrc,Canon,Canon EOS 5D Mark II,100,140,2.8,1/320,1,0,0,0,0,2,1,2
UFzAiLIwsNM,Canon,Canon EOS 1200D,100,85,8,1/250,1,0,0,1,2,1,0,1
pTPcbdUzlyY,Canon,Canon EOS 6D,5000,24,16,1/320,1,1,2,1,2,2,0,0
vLbtQEx64RU,NIKON CORPORATION,NIKON D5000,200,200,10,1/320,1,0,0,1,2,2,1,2
cKTGIXC9dHc,NIKON CORPORATION,NIKON D800,640,24,7.1,1/125,1,1,1,1,2,1,0,0
JZ4GNQzNxTU,NIKON CORPORATION,NIKON D3200,100,52,8,0.5,1,0,0,1,2,0,0,1
mUP8w6dENrY,Canon,Canon EOS 5D Mark III,250,35,10,1/800,1,0,0,1,2,2,0,0
ke-sGAA8w64,FUJIFILM,X100S,200,23,2,1/1000,1,0,0,0,0,2,0,0
QdSYuTtcGZE,SONY,ILCE-7,50,,,20,1,0,0,,,0,,
9wg5jCEPBsw,NIKON CORPORATION,NIKON D7000,100,50,6.3,1/800,1,0,0,1,2,2,0,1
JzQUxNdjbZM,SAMSUNG,NX300,3200,25,4,1/30,1,1,2,1,1,1,0,0
ZEd44nDPTfA,NIKON CORPORATION,NIKON D810,100,200,5.6,1/250,1,0,0,1,1,1,1,2
rg3F_zlBlnA,OLYMPUS IMAGING CORP.,E-M10,200,17,2.2,1/2000,1,0,0,0,0,2,0,0
8fYhrgV_IWg,Canon,Canon EOS 1100D,100,39,6.3,1/1000,0,0,0,1,2,2,0,1
_4HhZOUEwmw,FUJIFILM,X100S,800,23,5.6,1/500,1,1,1,1,1,2,0,0
P7w9VrUo9vU,Canon,Canon EOS 5D Mark III,3200,70,2.8,1/60,1,1,2,0,0,1,0,1
CYLYOTWE01o,SONY,ILCE-6000,100,16,6.3,1/800,1,0,0,1,2,2,0,0
XlFGKCeuIOw,NIKON CORPORATION,NIKON D810,400,50,2.5,1/125,1,0,0,0,0,1,0,1
Gxa1GeJ2TlY,,,,,,,1,,,,,,,
BUxLdXAsz8c,Canon,Canon EOS 5D Mark III,800,42,2.8,1/60,1,1,1,0,0,1,0,1
rYWz3Q88P8g,SONY,ILCE-6000,100,,,1/640,1,0,0,,,2,,
v4YtpXknYLY,Canon,Canon EOS 5D Mark III,100,55,5,1/80,1,0,0,1,1,1,0,1
qbtyUQtqJ8k,Canon,Canon EOS REBEL T3,100,18,4.5,1/100,1,0,0,1,1,1,0,0
yyilgcRTlNw,SONY,ILCE-5000,100,16,11,1/250,1,0,0,1,2,1,0,0
Y9rurJkOVxk,FUJIFILM,X100S,800,23,5.6,1/340,1,1,1,1,1,2,0,0
WCrchkdrlwI,Canon,Canon EOS 5D Mark III,320,58,6.3,1/125,1,0,0,1,2,1,0,1
WUC1wC8pP9A,FUJIFILM,X-T10,1600,35,1,1/60,1,1,1,0,0,1,0,0
o31cz2XQDFw,SONY,ILCE-7,640,35,8,1/400,1,1,1,1,2,2,0,0
FKbg8jbLMQ8,Canon,Canon EOS REBEL T3i,100,24,10,1/250,1,0,0,1,2,1,0,0
jeWWV3OqN78,NIKON CORPORATION,NIKON D750,1000,280,10,1/4000,1,1,1,1,2,2,1,2
-ftqFUopdDs,Canon,Canon EOS 5D Mark II,125,45,13,1/100,1,0,0,1,2,1,0,1
qWqj7_h0mxU,NIKON CORPORATION,NIKON D90,200,,,1/500,1,0,0,,,2,,
Sa7787z58VQ,NIKON CORPORATION,NIKON 1 V1,100,30,10,1/160,1,0,0,1,2,1,0,0
SWfcRVm-o0E,SONY,ILCE-7M2,100,19,10,1/320,1,0,0,1,2,2,0,0
Swfc6shtGP4,Canon,Canon EOS 5D Mark III,200,50,1.6,1/250,1,0,0,0,0,1,0,1
LZErFqDvkpk,Canon,Canon EOS 7D,100,50,2.2,1/5000,1,0,0,0,0,2,0,1
iBh14jRMBI4,Canon,Canon EOS 5D,200,0,,1/400,1,0,0,,,2,,
LWzoYFmSRxc,Apple,iPhone 5s,32,4.2,2.2,1/275,0,0,0,0,0,2,0,0
rldNiZx1fNI,NIKON CORPORATION,NIKON D5200,100,30,5.6,1/1000,1,0,0,1,1,2,0,0
HfGRKdRsolA,,,,,,,1,,,,,,,
V2I277IbS08,Canon,Canon EOS 7D,200,85,2.8,1/800,1,0,0,0,0,2,0,1
zQBSte4Rn3s,NIKON CORPORATION,NIKON D80,125,17,10,1/60,1,0,0,1,2,1,0,0
K0NZmsoaRt0,,,,,,,1,,,,,,,
TfrraGFywuQ,Canon,Canon EOS 5D Mark II,1000,135,5.6,1/400,1,1,1,1,1,2,1,2
_omuigahLco,SONY,ILCE-6000,320,24,4,1/60,1,0,0,1,1,1,0,0
KbhmP_uoqTY,NIKON CORPORATION,NIKON D7000,800,155,4.5,1/125,1,1,1,1,1,1,1,2
tHe4kd2ZI3U,Canon,Canon EOS 600D,6400,42,5,1/80,1,1,2,1,1,1,0,1
BGB9Eidt30I,Panasonic,DMC-GH4,200,20,1.7,1/2500,1,0,0,0,0,2,0,0
G2ifDHnHZ6Y,NIKON CORPORATION,NIKON D7000,3200,11,3.2,25,0,1,2,0,1,0,0,0
bXHlgb58_co,Canon,Canon EOS 600D,100,18,10,1/250,1,0,0,1,2,1,0,0
YMMXnBHhvCo,FUJIFILM,X-T1,800,16,2,1/2500,1,1,1,0,0,2,0,0
EXbGG5dBZKw,Canon,Canon PowerShot G7 X,250,8.8,4,1/640,0,0,0,1,1,2,0,0
-s1w1SguZTI,Canon,Canon PowerShot G7 X,125,24.1,4,1/125,1,0,0,1,1,1,0,0
LMgynmNmSGY,NIKON CORPORATION,NIKON D750,100,85,3.5,1/200,1,0,0,0,1,1,0,1
ILnBrcYVXr4,Canon,Canon EOS 5D Mark III,100,105,16,1/125,1,0,0,1,2,1,1,2
gvoHcmM47R4,Canon,Canon EOS 7D,400,24,7.1,1/3200,1,0,0,1,2,2,0,0
9BbAmtCGpWY,Canon,Canon PowerShot G7 X,125,8.8,3.2,1/1250,1,0,0,0,1,2,0,0
1c0l8A8VDzk,,,,,,,1,,,,,,,
DqXPh4wrA20,Canon,Canon PowerShot G7 X,200,17.4,4,1/200,1,0,0,1,1,1,0,0
PdJjT-zYg_E,Canon,Canon EOS 7D Mark II,100,70,4,1/160,1,0,0,1,1,1,0,1
IZ01rjX0XQA,FUJIFILM,X-E2,200,18,11,1/350,1,0,0,1,2,2,0,0
bcyC0eCFH8U,,,,,,,1,,,,,,,
23B9fajPhho,NIKON CORPORATION,NIKON D5000,1600,55,4,1/10,1,1,1,1,1,1,0,1
KD8jKVdCFoQ,NIKON CORPORATION,NIKON D5100,200,105,5.6,1/125,1,0,0,1,1,1,1,2
Gl48sm4Od6g,SONY,ILCE-7M2,100,29,11,1/200,1,0,0,1,2,1,0,0
7MBgGXQ2Rqg,Canon,Canon EOS Kiss X4,100,50,1.8,1/4000,1,0,0,0,0,2,0,1
EfhCUc_fjrU,SONY,ILCE-6000,100,50,10,0.4,1,0,0,1,2,0,0,1
agE97zp_Xvo,SAMSUNG TECHWIN Co.,SAMSUNG GX10,400,40,9.5,1/750,0,0,0,1,2,2,0,1
0WrZceP8V28,Canon,Canon EOS REBEL T3i,100,24,9,1/640,1,0,0,1,2,2,0,0
c8_nS7lF3eo,Canon,Canon EOS REBEL T3i,200,100,2.8,1/400,1,0,0,0,0,2,1,2
VyZTJ_FRqJc,NIKON CORPORATION,NIKON D5500,200,55,5.6,1/100,1,0,0,1,1,1,0,1
PpZiXBY7_Nw,NIKON CORPORATION,NIKON D750,100,20,8,1/200,1,0,0,1,2,1,0,0
ijz0gXqaNrU,Canon,Canon EOS 5D,640,105,8,1/250,1,1,1,1,2,1,1,2
bFFJj1UM8N0,Canon,Canon EOS 6D,500,50,3.5,1/4000,1,1,1,0,1,2,0,1
bbuMCIRFXiQ,Canon,Canon EOS 5D Mark II,100,100,6.3,1/250,1,0,0,1,2,1,1,2
FQGW34aZb1I,SAMSUNG,NX500,100,16,7.1,1/320,1,0,0,1,2,2,0,0
U22mr8QmDvE,Canon,Canon EOS REBEL T3i,100,35,7.1,1/125,1,0,0,1,2,1,0,0
-grKZ-GzWyU,,,,,,,1,,,,,,,
FZqISnUVsL0,Canon,Canon EOS 1100D,100,18,3.5,1/2000,1,0,0,0,1,2,0,0
KwVbDSCb-bI,Apple,iPhone 5,200,4.1,2.4,1/237,1,0,0,0,0,1,0,0
_QwBXZ7NQ78,NIKON CORPORATION,NIKON D3000,200,50,10,1/200,1,0,0,1,2,1,0,1
F0dmGPe2KG0,NIKON CORPORATION,NIKON D5500,1800,200,4,1/320,0,1,2,1,1,2,1,2
bQUKDF5H7fo,,,,,,,1,,,,,,,
V6If1LurrhU,NIKON CORPORATION,NIKON D610,640,55,4.5,1/2000,1,1,1,1,1,2,0,1
R_qUr2FqvlI,SONY,ILCE-6000,100,30,10,44,1,0,0,1,2,0,0,0
ebRanmiyixs,Canon,Canon EOS 5D,3200,50,2.8,10,1,1,2,0,0,0,0,1
PAnGAiaSPh0,Canon,Canon EOS 7D,400,50,7.1,1/100,1,0,0,1,2,1,0,1
s48nn4NtlZ4,SONY,ILCE-7,1600,,,2.5,1,1,1,,,0,,
bY6baTGwoG0,SONY,SLT-A58,100,100,6.3,1/200,1,0,0,1,2,1,1,2
WQo7FmqQBpo,Canon,Canon EOS REBEL T5,400,44,11,1/200,1,0,0,1,2,1,0,1
uXMU_dC_tFM,,,,,,,1,,,,,,,
vfyvip4aT4Q,NIKON CORPORATION,NIKON D7100,100,18,3.5,20,1,0,0,0,1,0,0,0
lYwwPmsWdOg,Canon,Canon EOS REBEL T5,100,250,13,1/8,1,0,0,1,2,1,1,2
YH4DwLLZy4I,NIKON CORPORATION,NIKON D3100,100,50,1.8,1/1250,1,0,0,0,0,2,0,1
aolmXcUxr7Y,Canon,Canon EOS REBEL T3i,400,400,5.6,1/640,1,0,0,1,1,2,1,2
4xb7hurRzIU,Canon,Canon PowerShot SX120 IS,100,6.7,5,1/1250,1,0,0,1,1,2,0,0
-uEIBNhwrDo,DJI,FC300X,200,3.6,2.8,1/400,1,0,0,0,0,2,0,0
PaNxe-QJwhE,NIKON CORPORATION,NIKON D800,400,16,8,15,1,0,0,1,2,0,0,0
aMgRySE38Yw,,,,,,,1,,,,,,,
VQqt3g0BixA,NIKON CORPORATION,NIKON D7100,250,18,3.5,1/800,1,0,0,0,1,2,0,0
5q5CAz_bOAg,NIKON CORPORATION,NIKON D7000,280,150,6.3,1/1000,1,0,0,1,2,2,1,2
5WYiCX1HHYg,NIKON CORPORATION,NIKON D750,100,200,2.8,1/800,1,0,0,0,0,2,1,2
fJb9CeTGjvQ,,,200,44,5,1/160,0,0,0,1,1,1,0,1
IraMdOH78NE,,,,,,,1,,,,,,,
5dehYy5BkRw,Canon,Canon EOS 5D Mark II,100,50,6.3,1/100,1,0,0,1,2,1,0,1
WeYamle9fDM,FUJIFILM,X100T,400,23,2,1/450,1,0,0,0,0,2,0,0
Ob-5QPT6yv4,,,,,,,1,,,,,,,
XYgVCMAT45k,,,,,,,0,,,,,,,
bOv4fYURclY,,,,,,,1,,,,,,,
e0Q4qqvvrXI,,,,,,,1,,,,,,,
T9CktnMI8TQ,Canon,Canon EOS 5D Mark III,100,105,5.6,1/160,1,0,0,1,1,1,1,2
9dTg44Qhx1Q,,,,,,,0,,,,,,,
F4cloJo0PQM,SONY,DSC-RX100M3,125,15.3,5.6,1/640,1,0,0,1,1,2,0,0
HS4D5MvY5F4,,,,,,,1,,,,,,,
wlzA74ZqRFs,,,,,,,0,,,,,,,
RLR9AfOd5hw,NIKON CORPORATION,NIKON D750,360,140,5.6,1/500,1,0,0,1,1,2,1,2
TXZZDkuCA80,FUJIFILM,X100T,3200,19,8,1/1000,1,1,2,1,2,2,0,0
IghZxJgO94M,NIKON CORPORATION,NIKON D750,100,390,8,1/640,1,0,0,1,2,2,1,2
RSGXmYouHSA,Canon,Canon EOS 700D,800,50,5,1/125,1,1,1,1,1,1,0,1
7rc1slcFfuM,SONY,ILCE-7R,50,28,22,1.6,1,0,0,1,2,0,0,0
TThJasoRU2o,NIKON CORPORATION,NIKON D5200,200,40,20,1/15,1,0,0,1,2,1,0,1
iilZhNg5uaQ,Canon,Canon EOS REBEL T3i,200,100,2.8,1/200,1,0,0,0,0,1,1,2
5KNecHxjTnI,FUJIFILM,X-T1,200,23,1.6,1/300,1,0,0,0,0,2,0,0
njQ-fbNxpTk,OLYMPUS IMAGING CORP.,E-PL2,200,,,1/640,1,0,0,,,2,,
Y5pSLoYarnE,,,,,,,1,,,,,,,
1yglEKdGSzU,Canon,Canon EOS 5D Mark III,100,17,22,0.5,0,0,0,1,2,0,0,0
-fiPzmOG8sU,Canon,Canon EOS REBEL T5,320,39,11,1/200,1,0,0,1,2,1,0,1
n4A-qBj_e3Q,Canon,Canon PowerShot G7 X,125,8.8,5.6,1/200,0,0,0,1,1,1,0,0
zSGFGTed0zw,Canon,Canon EOS 6D,100,20,8,1/100,1,0,0,1,2,1,0,0
Sq44zuvuYuQ,,,,,,,1,,,,,,,
b-0AT81Z5MA,NIKON CORPORATION,NIKON D750,1250,105,3.3,1/800,1,1,1,0,1,2,1,2
HAGq70L1MXc,,,,,,,1,,,,,,,
p1vOiWrFm18,Apple,iPhone 6s,25,4.2,2.2,1/1026,0,0,0,0,0,2,0,0
4Xb2Fm84Z3g,SONY,ILCE-7M2,100,33,5.6,1/125,0,0,0,1,1,1,0,0
dY7ONzZzoU8,SONY,ILCE-6300,320,24,4.5,1/500,1,0,0,1,1,2,0,0
eotyy_IFVRk,OLYMPUS IMAGING CORP.,E-M5,1600,12,3.5,20,1,1,1,0,1,0,0,0
jizIM-9oLYA,NIKON CORPORATION,NIKON D800,100,28,2.8,1/1000,1,0,0,0,0,2,0,0
j9NRVGf6Vo4,SONY,ILCE-7RM2,50,50,9,1/200,1,0,0,1,2,1,0,1
I00Y30Ik8Xw,Canon,Canon PowerShot G3 X,800,110.8,5.6,1/400,1,1,1,1,1,2,1,2
cglOutdLi2I,Canon,Canon PowerShot G7 X,200,8.8,4,1/60,1,0,0,1,1,1,0,0
DLICfSD33as,Canon,Canon EOS 7D Mark II,400,22,4.5,30,1,0,0,1,1,0,0,0
xndHhTH2Ejc,SONY,ILCE-7RM2,50,50,8,1/200,1,0,0,1,2,1,0,1
83zRhEhFMfo,,,,,,,1,,,,,,,
9PDBbyJc2eE,Apple,iPhone 7 Plus,20,4,1.8,1/669,0,0,0,0,0,2,0,0
xYMkO5LbGtc,NIKON CORPORATION,NIKON D750,100,70,2.8,1/1000,1,0,0,0,0,2,0,1
fvRMiI6KFI4,NIKON CORPORATION,NIKON D7100,100,100,10,1/400,0,0,0,1,2,2,1,2
xqV9QdGOSas,FUJIFILM,X-Pro2,6400,35,2,1/90,0,1,2,0,0,1,0,0
